"name","address","postal_code","state","stars"
"Brick House Tavern + Tap","581 Howe Ave","44221","OH","3.5"
"Messina","Richterstr. 11","70567","BW","4"
"East Coast Coffee","737 West Pike St","15342","PA","4.5"
"Showmars Government Center","600 E 4th St","28202","NC","3.5"
"Alize Catering","2459 Yonge St","M4P 2H6","ON","3"
"Maxim Bakery & Restaurant","9665 Bayview Avenue, Unit 1-4","L4C 9V4","ON","3.5"
"Chula Taberna Mexicana","1058 Gerrard Street E","M4M 3A6","ON","3.5"
"Panera Bread","38295 Chestnut Ridge Rd","44035","OH","2"
"Toast Cafe","2429 Hwy 160 W","29708","SC","3.5"
"Sunnyside Grill","2777 Steeles Avenue W","M3J 3K5","ON","5"
"Le Bistro Balmoral","305 Rue Sainte-Catherine O","H2X 2A1","QC","3"
"Bampot House of Tea & Board Games","201 Harbord Street","M5S 1H6","ON","4"
"Yuzu","13603 Madison Ave","44107","OH","3.5"
"Carrabba's Italian Grill","245 Lancaster Ave","19355","PA","3.5"
"McDonald's","719 E Thunderbird Rd","85022","AZ","1"
"Charr An American Burger Bar","777 E Thunderbird Rd, Ste 107","85022","AZ","3"
"Restaurant Lucca","12 Rue Dante","H2S 1J5","QC","4.5"
"Flight Deck Bar & Grill","6730 S Las Vegas Blvd","89119","NV","4"
"Subway","6889 S Eastern Ave, Ste 101","89119","NV","2.5"
"GameWorks","6587 Las Vegas Blvd S, Ste 171","89119","NV","3"
