"id","name","address","state","city","postal_code","stars","review_count"
"PfOCPjBrlQAnz__NXj9h_w","Brick House Tavern + Tap","581 Howe Ave","OH","Cuyahoga Falls","44221","3.5","116"
"o9eMRCWt5PkpLDE0gOPtcQ","Messina","Richterstr. 11","BW","Stuttgart","70567","4","5"
"XOSRcvtaKc_Q5H1SAzN20A","East Coast Coffee","737 West Pike St","PA","Houston","15342","4.5","3"
"fNMVV_ZX7CJSDWQGdOM8Nw","Showmars Government Center","600 E 4th St","NC","Charlotte","28202","3.5","7"
"l09JfMeQ6ynYs5MCJtrcmQ","Alize Catering","2459 Yonge St","ON","Toronto","M4P 2H6","3","12"
"Gu-xs3NIQTj3Mj2xYoN2aw","Maxim Bakery & Restaurant","9665 Bayview Avenue, Unit 1-4","ON","Richmond Hill","L4C 9V4","3.5","34"
"1K4qrnfyzKzGgJPBEcJaNQ","Chula Taberna Mexicana","1058 Gerrard Street E","ON","Toronto","M4M 3A6","3.5","39"
"Dj0S-Oe4ytRJzMGUPgYUkw","Panera Bread","38295 Chestnut Ridge Rd","OH","Elyria","44035","2","4"
"gAy4LYpsScrj8POnCW6btQ","Toast Cafe","2429 Hwy 160 W","SC","Fort Mill","29708","3.5","6"
"nbhBRhZtdaZmMMeb2i02pg","Sunnyside Grill","2777 Steeles Avenue W","ON","Toronto","M3J 3K5","5","3"
"1_3nOM7s9WqnJWTNu2-i8Q","Le Bistro Balmoral","305 Rue Sainte-Catherine O","QC","Montreal","H2X 2A1","3","8"
"FXHfcFVEfI1vVngW2gVOpw","Bampot House of Tea & Board Games","201 Harbord Street","ON","Toronto","M5S 1H6","4","55"
"tRVx2c89coruPRwYhGTcTw","Yuzu","13603 Madison Ave","OH","Lakewood","44107","3.5","78"
"BnuzcebyB1AfxH0kjNWqSg","Carrabba's Italian Grill","245 Lancaster Ave","PA","Frazer","19355","3.5","25"
"rDMptJYWtnMhpQu_rRXHng","McDonald's","719 E Thunderbird Rd","AZ","Phoenix","85022","1","10"
"1WBkAuQg81kokZIPMpn9Zg","Charr An American Burger Bar","777 E Thunderbird Rd, Ste 107","AZ","Phoenix","85022","3","232"
"-ooEO2YqDQVYNHnSF2BPfw","Restaurant Lucca","12 Rue Dante","QC","Montréal","H2S 1J5","4.5","11"
"Pd52CjgyEU3Rb8co6QfTPw","Flight Deck Bar & Grill","6730 S Las Vegas Blvd","NV","Las Vegas","89119","4","13"
"4srfPk1s8nlm1YusyDUbjg","Subway","6889 S Eastern Ave, Ste 101","NV","Las Vegas","89119","2.5","6"
"n7V4cD-KqqE3OXk0irJTyA","GameWorks","6587 Las Vegas Blvd S, Ste 171","NV","Las Vegas","89119","3","349"
